n_estimators,max_depth,learning_rate,cv_mae
500,8,0.05,0.033285779878497124
300,8,0.05,0.033295466192066664
500,10,0.05,0.033324449633558594
300,10,0.05,0.03333339728415012
500,6,0.1,0.03334750483433405
300,6,0.1,0.03335140583415826
100,6,0.1,0.033546845366557436
500,6,0.05,0.03362838700413704
300,6,0.05,0.03364110887050628
500,8,0.1,0.03442737447718779
300,8,0.1,0.034430794417858124
500,10,0.1,0.034466300780574485
300,10,0.1,0.03447224907577038
100,8,0.1,0.034567990278204286
100,10,0.1,0.034584334368507066
500,6,0.2,0.034759855518738426
300,6,0.2,0.034765202552080154
100,6,0.2,0.03477735643585523
500,10,0.2,0.03526886602242788
300,10,0.2,0.03527205263574919
100,10,0.2,0.03527566194534302
100,10,0.05,0.03535526990890503
100,8,0.05,0.03547843148310979
300,8,0.2,0.03549570565422376
500,8,0.2,0.03549595872561138
100,8,0.2,0.03550754015644392
100,6,0.05,0.0359165620058775
